Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Everett Benyard,,,2014,Oregon,OG,6.5,307,0,0,5.66,1.92,5.03,8.34,15,21,7.92,55.4,62.3,-2.7,-1.9
Carvin Johnson,,,2014,Hampton,DS,5.98,205,0,0,4.75,1.66,4.8,7.2,16,29.5,9.83,79.5,83.2,-2.4,-1.9
Jake Sheffield,,,2014,Arizona State,DT,6.19,279,0,0,5.47,1.93,4.79,7.57,25,25.5,8.25,71.6,67.8,-1.7,-1.9
Jeremy Woodson,,,2014,Bryant,CB,5.47,148,0,0,4.49,1.64,4.6,7.12,8,36,10,80.7,86.7,-2.3,-2
Michael Green,,,2014,Lenoir-Rhyne,DS,5.92,183,31.25,9.5,4.76,1.63,4.44,7.37,7,31.5,9.67,78.3,83,-2.5,-2
Gianni Carter,,,2014,Duquesne,WR,6.13,206,0,9.63,4.79,1.67,4.54,7.49,12,34,9.4,87,82.6,-1.7,-2
Shaq Rowell,,,2014,West Virginia,DT,6.25,311,0,0,5.53,1.85,4.98,8.16,20,25.5,7.58,71,67.6,-1.7,-2
Dante Caro,,,2014,New Mexico,DS,6,183,0,0,4.75,1.68,4.4,7.5,16,32.5,9.5,90.3,82.9,-1.6,-2
Brannon Green,,,2014,Oklahoma,TE,6.18,271,30.75,9.25,5.14,1.89,4.54,7.65,18,28,8.6,83.7,72.7,-1.4,-2
Anthony Kendrick,,,2014,Kentucky,TE,6.23,249,0,0,5.01,1.79,4.6,7.43,16,26,8.7,74.2,72.6,-2,-2
Kelsey Pope,,,2014,Samford,WR,6.02,198,0,0,4.73,1.62,4.53,6.9,12,31,9.1,83.4,82.4,-2,-2
Nathan Isles,,,2014,North Carolina A&T,OG,6.45,348,0,0,6.01,1.95,5.29,8.81,21,21.5,7.33,52.3,61.8,-2.9,-2
Drayton Calhoun,,,2014,Middle Tennessee,CB,5.83,187,0,0,4.5,1.62,4.7,6.99,18,30.5,9.42,88.5,86.4,-1.7,-2
Tyler Worthley,,,2014,Sacramento State,OG,6.21,330,0,0,5.79,1.96,4.93,8.28,23,22,7.33,62.7,61.7,-2.1,-2
Corey Addison,,,2014,Murray State,DS,5.94,203,0,0,4.71,1.69,4.39,7.9,12,30,9.5,88.8,82.6,-1.7,-2
Alex Logan,,,2014,California,DS,6.09,203,0,0,4.74,1.72,4.53,7.21,15,34.5,9,92.2,82.5,-1.5,-2
Colon Bailey,,,2014,Fayetteville State,RB,5.94,219,31,9.5,4.88,1.62,4.57,7.58,23,29.5,9.08,88.5,82.9,-1.7,-2
Tyree Mills,,,2014,Southern Utah,CB,6.01,190,29.63,8.38,4.65,1.7,4.4,7.26,15,29.5,9.67,89.8,85.9,-1.6,-2
Reggie Williams,,,2014,Grand Valley State,CB,5.67,163,0,0,4.63,1.6,4.41,6.93,3,32,9.67,76,85.8,-2.7,-2
Thad Williams,,,2014,Tennessee Martin,CB,5.76,190,28.5,8,4.61,1.67,4.53,7.19,13,32.5,9.42,89,85.8,-1.6,-2
Ed Hazelett,,,2014,Western Kentucky,OT,6.55,318,0,0,5.35,1.97,5.35,7.98,22,24.5,7.67,75.2,61.6,-1,-2
Nigel Muhammad,,,2014,Lehigh,OB,5.93,235,0,0,4.9,1.71,4.72,7.65,15,27,9.17,75.9,77.9,-2.2,-2
Danny Kistler,,,2014,Montana,OG,6.58,315,34.25,10.13,5.8,1.97,5.02,8.4,18,23.5,7.75,57.6,60.9,-2.5,-2
Anthony Rogers,,,2014,Oklahoma State,DT,6.34,302,0,0,5.52,1.88,4.95,8.03,25,27.5,7.25,76.9,66.5,-1.4,-2
Marcus Shaw,,,2014,South Florida,RB,5.72,184,30.88,9.25,4.68,1.63,4.6,7.3,10,30,9.42,76.3,82.4,-2.6,-2
Chris Grant,,,2014,Hawaii,WR,5.94,187,30.63,8.63,4.72,1.68,4.37,7.21,8,32.5,9.2,85.4,81.5,-1.8,-2
Cody Morgan,,,2014,Wagner,WR,5.67,199,0,0,4.77,1.69,4.34,7.13,21,27.5,9.3,92,81.5,-1.3,-2
Tony Grimes,,,2014,Hawaii,CB,5.88,178,0,0,4.69,1.66,4.36,7.1,14,31,9.5,88.5,85.6,-1.7,-2
Jarrid Bryant,,,2014,South Dakota,CB,6.23,185,0,0,4.71,1.56,4.6,7.38,11,32.5,9.75,80,85.6,-2.4,-2
Gregory Barksdale,,,2014,Tennessee State,OB,6.04,241,0,0,4.95,1.71,4.57,7.26,27,27,8.42,89.4,77.7,-1.3,-2
Thomas Tutogi,,,2014,Washington,IB,6,251,0,0,5.03,1.76,4.4,7.5,17,25.5,9.25,81.1,81.2,-2.4,-2
Chaz Robinson,,,2014,Saint Augustine,IB,5.8,218,30.13,8.88,4.96,1.8,4.5,7.46,17,29.5,9.42,82.3,81.2,-2.3,-2
Andrew Niblock,,,2014,Memphis,OG,6.35,323,0,0,5.66,1.97,5.12,8.11,22,23.5,7.42,66.1,60.7,-1.8,-2.1
Jeremy Towns,,,2014,Samford,DT,6.24,303,0,0,5.28,1.93,5.2,8.27,30,23.5,7.42,80.5,66.3,-1.1,-2.1
Beau Palin,,,2014,Yale,OB,6.17,241,0,0,5.04,1.76,4.53,7.66,19,32,8.75,86.3,77.5,-1.5,-2.1
E.J. Banks,,,2014,Pittsburgh,CB,5.87,192,0,0,4.78,1.62,4.43,7.16,9,33.5,9.25,84.7,85.4,-2,-2.1
LaDarius Hawthorne,,,2014,Coastal Carolina,CB,5.56,185,0,0,4.67,1.69,4.58,7.18,12,34,9.67,85.3,85.3,-1.9,-2.1
Daven Gray,,,2014,Winstom Salem,OG,6.2,310,0,0,5.56,1.88,4.81,8.27,17,20.5,7,61.4,60.4,-2.2,-2.1
Brandon McCladdie,,,2014,Citadel,CB,6.09,221,31.75,7.63,4.7,1.65,4.61,7.33,16,31,9.25,89.8,85.1,-1.6,-2.1
Reggie Wilson,,,2014,Texas,DE,6.17,258,34.13,10,4.94,1.78,4.8,8.08,25,25,8.75,84.2,73.3,-1.5,-2.1
James Hurst,,,2014,North Carolina,OT,6.43,296,33.75,10.13,5.59,1.93,4.73,7.84,20,22,7.5,62.8,60.7,-1.8,-2.1
Wayne Pettus,,,2014,Richmond,CB,5.54,167,0,0,4.6,1.56,4.55,6.97,7,31,9.67,75.6,85,-2.7,-2.1
Brion James,,,2014,North Alabama,DS,6.2,217,0,0,4.71,1.69,4.63,7.58,10,32,9.33,83.6,80.9,-2.1,-2.1
Jordan Hall,,,2014,Ohio State,RB,5.63,196,30.13,9.88,4.8,1.71,4.44,7.05,20,30.5,8.75,90.5,81.4,-1.6,-2.1
Manny Asam,,,2014,New Hampshire,DS,6.02,174,0,0,4.81,1.69,4.38,7.21,16,31,9.58,84.5,80.8,-2.1,-2.1
Rashard Smith,,,2014,North Carolina State,WR,5.76,170,30.38,8.63,4.74,1.56,4.4,6.82,13,30.5,9,81.8,80.6,-2.1,-2.1
Marquis Simmons,,,2014,USC,IB,6.02,221,0,0,4.87,1.69,4.53,7.25,16,29,8.67,83.5,80.2,-2.2,-2.1
Sam Small,,,2014,Murray State,IB,5.94,241,0,0,4.99,1.79,4.82,7.7,16,29,9.67,76.5,80.2,-2.8,-2.1
Ricky Tjong-A-Tjoe,,,2014,Boise State,DT,6.24,303,32.25,9.13,5.36,1.88,4.88,7.99,19,24.5,7.17,73.8,65.3,-1.6,-2.1
Deandre Williams,,,2014,Florida Atlantic,OT,6.33,297,32.75,9.75,5.65,1.96,5.2,8.05,20,24.5,7.83,60.7,60.2,-2,-2.1
Anthony Muilenburg,,,2014,Dakota Wesleyan,WR,6.02,198,30,9.38,4.76,1.64,4.44,7.06,5,31.5,9,79.4,80.4,-2.3,-2.1
Cliff Stokes,,,2014,Iowa State,DS,6.03,176,0,0,4.71,1.61,4.52,7.25,4,30.5,9.67,71.6,80.5,-3,-2.1
Shonquez Nelson,,,2014,St. Augustines,DT,5.94,297,32.63,10.25,5.46,1.9,4.76,7.87,19,24,7.67,69.4,65.2,-1.8,-2.1
Trey Watts,,,2014,Tulsa,RB,5.79,195,29.38,9.13,4.78,1.7,4.37,6.94,8,26.5,9.17,75.9,81,-2.6,-2.1
Jerry Rice Jr.,,,2014,UNLV,WR,5.84,185,29.38,8.75,4.68,1.62,4.43,7.27,9,33,8.8,86,80.1,-1.8,-2.2
Christopher Clark,,,2014,Syracuse,WR,5.83,162,0,0,4.62,1.59,4.46,7.46,13,31,9.6,82.7,80.1,-2,-2.2
Marcus Andrews,,,2014,San Diego State,DS,6.02,189,0,0,4.79,1.62,4.67,7.44,16,33,9.5,81.2,80.2,-2.3,-2.2
Derrick Thomas,,,2014,Marshall,CB,6.02,176,32.38,8.5,4.69,1.58,4.46,6.87,13,30,9.33,82,84.2,-2.2,-2.2
Emory Polley,,,2014,Brown,CB,5.7,184,0,0,4.74,1.63,4.47,7.44,10,34.5,9.42,85.4,84.1,-1.9,-2.2
Kye Staley,,,2014,Oklahoma State,FB,5.86,248,31.75,8.38,5,1.84,4.58,7.38,25,27.5,8.25,87.4,69.2,-1.5,-2.2
Mark Fackler,,,2014,Kent State,DE,6.26,248,0,0,5.01,1.75,4.56,7.34,19,29,8.17,82.8,71.8,-1.6,-2.2
Deion Imade,,,2014,Oklahoma State,DS,5.92,202,0,0,4.77,1.72,4.58,7.9,18,33,9.5,89.5,79.9,-1.7,-2.2
Prinz Kande,,,2014,Kansas,DS,5.87,217,0,0,4.72,1.7,4.57,7.78,12,30,9.42,84.6,79.9,-2,-2.2
Jhony Faustin,,,2014,Northern Illinois,CB,5.67,184,0,0,4.6,1.64,4.35,7.08,7,28.5,9.33,82.4,84,-2.2,-2.2
Jimmy Bennett,,,2014,Connecticut,OT,6.64,305,34.13,9.42,5.44,1.99,4.93,7.93,18,24,7.83,69.5,59.4,-1.4,-2.2
Anthony Edwards,,,2014,New Mexico State,DS,6,181,0,0,4.66,1.63,4.47,7.71,16,28.5,9.58,84.3,79.6,-2.1,-2.2
Brandon Mitchell,,,2014,North Carolina State,WR,6.21,239,0,0,4.92,1.68,4.67,7.24,7,30.5,9.4,74.2,79.5,-2.7,-2.2
Blake Slaughter,,,2014,Kansas State,IB,5.81,229,0,0,4.92,1.77,4.51,7.24,25,28,8.67,90.7,79,-1.6,-2.2
Brandon Wimberly,,,2014,Nevada,WR,6.18,207,30.63,9,4.82,1.7,4.4,7.53,12,29.5,9.4,84.4,79.3,-1.9,-2.2
Drew Dileo,,,2014,Michigan,WR,5.68,182,27.5,8.88,4.8,1.64,4.23,7.07,12,31.5,8.7,88.7,79.2,-1.6,-2.2
Andy Erickson,,,2014,Texas State,WR,5.68,175,0,0,4.63,1.69,4.23,6.94,11,29,8.8,88.3,79.1,-1.6,-2.2
John Fulton,,,2014,Alabama,CB,6,195,32,9.75,4.53,1.62,4.57,7.6,16,32,9.08,93.5,83.2,-1.3,-2.2
Neiko Conway,,,2014,Midwestern State,CB,5.8,173,0,0,4.7,1.64,4.59,6.97,13,33,9.58,80.7,83.2,-2.3,-2.2
Xavier Daniels,,,2014,Texas State,CB,5.95,167,0,0,4.56,1.65,4.44,7.22,6,30.5,9.67,79.1,83.1,-2.4,-2.2
Terrance Woodard,,,2014,Georgia State,DT,6.13,284,0,0,5.36,1.86,5.11,8.43,15,23.5,8,62.8,63.5,-3,-2.2
Duran Christophe,,,2014,North Carolina State,OG,6.42,298,33.5,10.38,5.96,1.96,5.13,8.28,25,21.5,7.75,50.2,57.8,-3.1,-2.3
Jamey Cheatwood,,,2014,Coastal Carolina,OT,6.37,338,33.38,9.75,5.94,1.95,5.5,8.51,22,20.5,7.25,51.2,58.1,-2.6,-2.3
Lewellyn Coker,,,2014,Syracuse,OB,5.96,232,0,0,4.9,1.72,4.93,7.89,19,29,8.75,79.9,73.9,-1.9,-2.3
Alex Bullard,,,2014,Tennessee,OG,6.26,326,32.25,9.25,5.69,2.03,5.02,8.6,31,24,7.42,73.7,57.5,-1.2,-2.3
Willie Packer,,,2014,West Alabama,DT,6.02,302,0,0,5.51,1.92,5.26,8.68,19,27,7.58,68.7,63,-1.9,-2.3
Derrick Webb,,,2014,Colorado,IB,5.95,224,33,9.25,4.87,1.65,4.65,7.64,15,26,9.17,74.1,77.9,-3,-2.3
Devonte Jones,,,2014,Tuskegee,OG,5.95,298,0,0,5.44,1.96,5.15,8.11,21,21.5,7.75,64.5,57.2,-2,-2.3
Kevin Danser,,,2014,Stanford,OG,6.49,302,31.5,9.5,5.79,1.98,4.82,7.94,19,21.5,7.67,55.3,57,-2.7,-2.3
Denzel Drone,,,2014,Michigan State,DE,6.1,247,0,0,5.16,1.87,4.78,7.5,23,29,8.83,76.9,69.2,-2,-2.3
Drew Miller,,,2014,North Texas,FB,6.14,263,0,0,5.02,1.81,4.57,7.78,12,27,8.25,77.1,66.9,-2.2,-2.3
Greg Blair,,,2014,Cincinnati,IB,6.04,244,32.63,8.75,4.85,1.77,4.61,7.44,20,28,8.58,87.6,77.3,-1.9,-2.3
Derrick Hopkins,,,2014,South Florida,WR,5.44,150,0,0,4.52,1.58,4.39,7.31,2,30,9.4,73.3,77.7,-2.8,-2.3
Max Copeland,,,2014,Missouri,FB,6.19,286,0,0,5.26,1.77,4.84,7.86,22,26,8.17,78.2,66.6,-2.1,-2.3
Kyle Koehne,,,2014,Florida,OG,6.43,320,0,0,5.7,1.96,5,8.27,18,19.5,7.42,56.4,56.6,-2.6,-2.3
Osahon Irabor,,,2014,Arizona State,CB,5.84,186,32,9,4.71,1.7,4.28,7.28,13,31,9.08,91.4,81.9,-1.4,-2.3
Luke Wollet,,,2014,Kent State,DS,6,193,29,9.5,4.68,1.63,4.28,7.28,14,27,8.58,88.5,77.2,-1.8,-2.4
Cody Berry,,,2014,Texas San Antonio,DS,5.92,201,0,0,4.81,1.67,4.91,7.68,8,32.5,9.75,72.7,77.1,-2.9,-2.4
Victor Keise,,,2014,Minnesota,WR,5.98,185,0,0,4.92,1.75,4.25,6.93,13,30,9.3,82.7,77.2,-2,-2.4
Xzavian Brandon,,,2014,New Mexico State,WR,6.18,187,0,0,4.7,1.64,4.54,7.49,18,31.5,9,88.2,77,-1.6,-2.4
Randall Dent,,,2014,Kansas,OG,6.3,309,0,0,5.41,1.97,5.06,8.4,17,24,7.17,69.3,55.9,-1.6,-2.4
Cortez Webb,,,2014,UAB,DS,6.03,186,0,0,4.7,1.66,4.52,7.03,8,29,9.08,75.6,76.5,-2.7,-2.4
Kyle Bryant,,,2014,Youngstown State,OT,6.48,317,34.5,10.75,5.86,2.02,5.28,8.26,16,24.5,7.75,53.8,55.9,-2.4,-2.4
Zach Pendleton,,,2014,Jackson State,WR,6.17,194,0,0,4.82,1.77,4.85,7.64,13,35,10,79.4,76.5,-2.3,-2.4
Bookie Sneed,,,2014,Sam Houston State,CB,5.84,186,29.75,8.38,4.58,1.62,4.55,7.2,14,30.5,9,86.3,80.8,-1.8,-2.4
Milton Colbert,,,2014,Illinois State,WR,6.29,214,0,0,4.8,1.7,4.68,7.31,14,29.5,9.3,78.8,76.3,-2.4,-2.4
B.J. Stevens,,,2014,California (PA),OB,6.05,225,30.5,8.63,4.93,1.76,4.68,7.4,17,25,8.5,72.1,66.8,-2.3,-2.4
Mike Goodman,,,2014,McMurry,OT,6.43,317,35.38,9.63,5.59,1.96,5.41,8.45,16,22,7.33,58.4,55.2,-2.1,-2.5
Noah Taylor,,,2014,California (PA),DE,6.19,252,0,0,4.97,2.75,4.8,7.56,23,30.5,9.5,88.3,66.4,-1.3,-2.5
Davis Cazares,,,2014,New Mexico State,DS,5.87,199,0,0,4.87,1.75,4.37,6.91,16,28,9,83.3,75.6,-2.1,-2.5
Phillip Benning,,,2014,Texas State,CB,5.86,177,0,0,4.63,1.6,4.45,7.25,13,35.5,8.42,92.9,80.3,-1.3,-2.5
Tate Mustin,,,2014,Southern Arkansas,DS,5.78,207,0,0,4.87,1.66,4.5,7.01,15,30,8.58,82.5,75.4,-2.2,-2.5
Justin Bell,,,2014,Ohio Dominican,CB,5.81,182,0,0,4.84,1.58,4.28,7.4,8,29.5,9.25,78.6,80.1,-2.5,-2.5
Danny Williams,,,2014,Georgia State,WR,6.21,207,0,0,4.72,1.69,4.7,7.02,4,31.5,8.9,73.6,75.6,-2.8,-2.5
Rashad Stewart,,,2014,Georgia State,DS,5.76,195,0,0,4.76,1.74,4.52,7.69,18,32.5,9,90,75,-1.6,-2.5
L.J. Jones,,,2014,Fresno State,CB,5.84,197,0,0,4.44,1.59,43,6.9,14,33,9.25,72.2,79.8,-3,-2.5
Dearco Nolan,,,2014,Middle Tennessee,DE,6.13,248,0,0,4.88,1.75,4.9,7.69,15,25.5,8.17,74.7,65.4,-2.1,-2.5
Jacob Corbaley,,,2014,Middle Tennessee,TE,6.29,260,0,0,5.09,1.8,4.65,7.41,20,26,7.3,76.5,62.7,-1.8,-2.6
Jermie Calhoun,,,2014,Angelo State,RB,5.94,220,0,0,4.83,1.75,4.66,7.53,16,30,8.83,81.7,74.3,-2.2,-2.6
Maurice Hagens,,,2014,Miami (FL),FB,5.88,246,29.38,8.88,5.09,1.83,4.58,7.76,30,27,8,85.4,62.9,-1.6,-2.6
Niccolo Mastromatteo,,,2014,Coastal Carolina,WR,5.63,177,0,0,4.7,1.65,4.4,7.05,10,28,8.9,78.2,74.5,-2.4,-2.6
Jason Smith,,,2014,North Alabama,WR,5.68,152,0,0,4.77,1.73,4.27,6.9,13,33.5,8.8,85.3,74.5,-1.8,-2.6
Maurice Dickson,,,2014,California (PA),IB,6.29,246,0,0,4.84,1.7,4.76,7.41,18,27.5,8.17,83.1,73.7,-2.3,-2.6
Robert Simpson,,,2014,Mississippi Valley,DE,6.21,250,0,0,5.22,1.77,4.75,7.58,22,25.5,8.5,69.9,64,-2.4,-2.6
Monterius Lovett,,,2014,Marshall,CB,5.85,172,0,0,4.78,1.52,4.38,7.19,11,29.5,9,78.3,78.7,-2.5,-2.6
Brandon Wicks,,,2014,Murray State,DS,5.92,197,0,0,4.82,1.72,4.45,7.26,12,29,8.92,79.9,73.4,-2.4,-2.6
Kyle Griswould,,,2014,Middle Tennessee,WR,5.72,194,0,0,4.82,1.71,4.44,7.21,16,30,8.8,84.8,73.5,-1.9,-2.7
Justin Iwuji,,,2014,Texas State,DS,5.78,202,0,0,4.9,1.72,4.6,7.22,18,32,8.75,82.4,72.5,-2.2,-2.7
Darren Elliott,,,2014,Glenville State,CB,5.73,165,28.38,8.5,4.82,1.69,4.42,7,9,33,9.33,77.1,77.6,-2.6,-2.7
Clarence Bumpas,,,2014,Northern Colorado,IB,6.13,250,31.75,9.88,4.92,1.82,4.66,7.3,19,24.5,8.67,77.8,72,-2.7,-2.7
Jamal Resby,,,2014,Georgia State,CB,5.6,171,0,0,4.65,1.59,4.4,7.26,15,28.5,8.92,83.9,77.2,-2,-2.7
Mike McClure,,,2014,Coastal Carolina,DS,5.75,220,0,0,4.9,1.71,4.65,7.67,11,30,9.17,74.8,71.9,-2.8,-2.7
Gerald Demps,,,2014,Florida State,DS,5.85,199,0,0,5.07,1.76,4.46,7.3,10,29.5,9.67,68.7,71.4,-3.2,-2.8
Darnell Smith,,,2014,North Texas,WR,6.09,211,0,0,4.75,1.7,4.63,7.59,12,28.5,9.1,77.8,71.9,-2.4,-2.8
James Jackson,,,2014,Edinboro,CB,5.98,176,0,0,4.77,1.63,4.66,7.65,8,31,9.92,69.6,76,-3.2,-2.8
Alexander Walters,,,2014,Southern Miss,CB,5.8,178,0,0,4.65,1.68,4.58,7.4,9,28.5,9.58,73.7,75.6,-2.9,-2.9
Paul Piukala,,,2014,Utah State,DE,6.33,243,0,0,5.13,1.83,4.98,8.06,19,24.5,8.5,65.6,58.9,-2.7,-2.9
Eric Gordon,,,2014,Tennessee,CB,5.75,211,0,0,4.74,1.74,4.45,7.35,13,31,8.5,89.6,75.2,-1.6,-2.9
Joey Searcy,,,2014,Angelo State,DT,5.98,335,0,0,5.65,1.93,5.5,8.42,25,22,7,65.2,57.1,-2.7,-2.9
Roderic Blunt,,,2014,Middle Tennessee,IB,6.03,230,0,0,5.09,1.8,4.51,7.75,15,30.5,8.58,77.6,69.6,-2.7,-2.9
Robert Caldwell,,,2014,North Carolina State,IB,6.18,239,32.38,9.5,5.1,1.75,4.64,7.34,18,25.5,8.83,69.6,69.6,-3.4,-2.9
Gabe Lemon,,,2014,San Diego State,CB,5.73,190,0,0,4.69,1.66,4.71,7.56,12,31,9.17,78.1,74.3,-2.5,-3
Jeremi Wilkes,,,2014,Syracuse,DS,5.73,193,29.75,9.38,4.71,1.66,4.75,7.53,12,28,8.83,73.4,68.3,-2.9,-3
Mark Spaight,,,2014,Southern Arkansas,DS,5.88,193,0,0,4.72,1.75,4.5,7.45,11,25,9.08,73.7,68.2,-2.9,-3
Guy Morgan,,,2014,McNeese State,CB,5.87,190,0,0,4.85,1.68,4.6,7.59,16,34,9,82.8,73.9,-2.1,-3
Calvin Tonga,,,2014,Colorado State,DT,6.19,323,0,0,5.49,1.85,5.08,8.41,16,20.5,6.42,63.1,55.4,-2.9,-3.1
Davidell Collins,,,2014,Oklahoma State,DE,6.44,256,0,0,5.27,1.85,4.81,7.89,10,26,8.08,61,55.6,-2.9,-3.1
Nate Dreiling,,,2014,Pittsburgh State,IB,6.25,229,31.75,9.5,5.12,1.75,4.43,7.25,8,25.5,8.5,66,67.1,-3.7,-3.1
G'Alonzo Milton,,,2014,Alabama A&M,WR,5.97,214,32,9.63,4.92,1.71,4.72,7.79,23,31.5,8.6,85.2,68,-1.8,-3.1
Ryan Bronson,,,2014,McNeese State,DS,5.97,183,0,0,4.9,1.73,4.83,7.63,7,33,9.25,66.9,66.8,-3.4,-3.1
Marquis Wadley,,,2014,Tarleton State,DS,5.72,208,0,0,4.83,1.73,4.63,7.27,11,28.5,8.5,73.7,66.6,-2.9,-3.1
Damante Horton,,,2014,Washington State,CB,5.76,185,30.5,8.25,5,1.7,4.48,7.3,9,33,9,72.8,71.1,-3,-3.2
Colton Valencia,,,2014,Houston,DS,5.63,183,29.63,8.13,4.92,1.75,4.52,7.52,16,30,8.67,76.1,63.9,-2.7,-3.3
Antonio Marshall,,,2014,Miles,CB,5.79,188,0,0,4.93,1.66,4.64,7.33,11,30,9.08,68.4,68.9,-3.3,-3.4
Tavarres Jefferson,,,2014,Middle Tennessee,WR,5.72,198,0,0,4.8,1.8,4.51,7.21,6,26.5,8.4,69.6,62.2,-3.1,-3.5
Aaron Matthews,,,2014,Texas State,DS,6.03,188,0,0,4.96,1.77,4.65,7.78,16,27.5,8.92,67.7,59.4,-3.3,-3.6
Mark Ross,,,2014,Lafayette,WR,6.26,209,0,0,5.06,1.75,4.56,7.23,6,26,8.8,59.8,59.7,-3.9,-3.7
A.J. Ropati,,,2014,UTEP,IB,5.97,248,0,0,5.28,1.82,4.63,7.82,13,25,7.75,61.7,52.5,-4,-4.1
